Thema;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826
Religion;0;0;1;0;0;1;2;1;1;3;4;4;0;1;0;1;1;0;0;1;1;2;0;0;0;0;0
Empfehlungen;0;0;0;3;4;0;0;0;1;1;3;0;0;0;0;1;3;1;0;0;3;0;0;0;0;1;1
Abschied;0;0;0;0;1;0;1;0;4;0;0;3;0;1;0;0;2;1;0;5;2;0;1;0;1;0;0
Judentum;0;2;2;5;3;3;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Theaterleben;0;1;1;4;8;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Natur;0;2;1;1;0;1;0;0;1;0;1;2;0;0;0;0;1;0;0;0;2;2;2;0;0;0;3
Ermahnung, Zuspruch, Trost;1;0;0;0;0;0;1;0;0;1;2;1;0;1;0;0;0;0;0;0;2;3;4;0;0;2;0
Geschäftliches;0;0;0;1;1;1;1;0;0;3;1;0;0;2;2;0;0;2;2;0;0;1;0;0;0;0;0
Stimulantien;0;1;9;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Jean Pauls Werke;0;0;4;1;1;1;0;1;0;2;0;0;0;0;2;1;0;0;0;0;1;1;0;0;0;0;0
Bittschreiben;0;0;0;0;0;1;2;0;0;2;1;0;2;0;0;0;1;1;0;1;3;1;0;0;0;0;0
Jean Pauls Alltag;0;3;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;1;1;0;0
Jean Paul-Verehrung;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;1;6
Ernährung;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;2;3;0;0;0;0
Musik;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;3;0;0;0;1;0;0
Fahrzeuge;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;1;0;0;0;1;0;0;0
Dessauer Familienstipendium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;3;0;0;0;0;0
Entschuldigung;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Alter;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Selbstdarstellungen;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3
Nachruhm Jean Pauls;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2
Einladungen;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Freude und Begeisterung;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wissenschaft;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0
Geographisches, Landschaftsbeschreibungen;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Träume;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Willkommensschreiben;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angst und Sorge;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Philosophisches;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Humor, Satire;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Intellektuelle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
